Date,Session_ID,User_ID,Country,City,Device,Browser,Traffic_Source,Campaign,Landing_Page,Sessions,Users,New_User,Page_Views,Avg_Session_Duration_Min,Bounce_Rate,Conversions,Revenue_USD,Exit_Page,Conversion_Rate
2024-11-27,SES000001,USR00077,USA,San Francisco,Mobile,Chrome,Organic Search,Email Retention,Blog,1,1,Yes,7,2.41,28,0,0,Contact,0.0
2025-03-10,SES000002,USR01141,India,Hyderabad,Mobile,Safari,Organic Search,Festive Offer,Blog,1,1,Yes,8,4.42,28,0,0,Contact,0.0
2024-11-11,SES000003,USR01268,Australia,Sydney,Mobile,Safari,Direct,Email Retention,Checkout,2,1,No,8,6.01,40,0,0,Blog,0.0
2025-04-09,SES000004,USR00920,UK,Manchester,Mobile,Edge,Organic Search,Product Launch,Home,2,1,Yes,4,4.23,36,0,0,Products,0.0
2024-12-16,SES000005,USR01018,USA,San Francisco,Mobile,Firefox,Email,Summer Sale,Home,1,1,No,7,3.98,40,0,0,Checkout,0.0
2024-03-07,SES000006,USR00240,India,Delhi,Mobile,Firefox,Email,Summer Sale,Products,4,1,No,9,1.67,42,0,0,Products,0.0
2025-02-11,SES000007,USR01399,Canada,Vancouver,Mobile,Firefox,Direct,Brand Awareness,Products,3,1,Yes,6,1.98,50,0,0,Products,0.0
2024-08-26,SES000008,USR01415,India,Bengaluru,Desktop,Chrome,Organic Search,Email Retention,Checkout,3,1,No,4,3.47,31,0,0,Blog,0.0
2024-04-16,SES000009,USR00001,Canada,Vancouver,Mobile,Safari,Organic Search,Product Launch,Home,2,1,No,10,4.91,32,0,0,Home,0.0
2024-07-31,SES000010,USR00984,Australia,Melbourne,Mobile,Firefox,Organic Search,Festive Offer,Home,3,1,Yes,9,1.48,42,0,0,Pricing,0.0
2024-09-28,SES000011,USR01426,Canada,Toronto,Mobile,Edge,Organic Search,Product Launch,Pricing,3,1,Yes,6,3.18,27,0,0,Products,0.0
2025-05-29,SES000012,USR01010,UK,London,Mobile,Edge,Social,No Campaign,Home,2,1,Yes,6,6.09,59,0,0,Blog,0.0
2024-09-22,SES000013,USR00989,USA,Dallas,Mobile,Chrome,Referral,Email Retention,Checkout,3,1,No,9,6.16,34,0,0,Home,0.0
2024-05-02,SES000014,USR00349,Canada,Toronto,Mobile,Safari,Organic Search,Summer Sale,Products,3,1,No,5,6.2,39,0,0,Products,0.0
2025-04-30,SES000015,USR00889,UK,London,Mobile,Safari,Organic Search,Brand Awareness,Home,1,1,No,3,2.23,43,0,0,Contact,0.0
2024-09-03,SES000016,USR00862,Australia,Melbourne,Mobile,Safari,Organic Search,Product Launch,Products,2,1,Yes,3,6.65,38,0,0,Products,0.0
2024-01-05,SES000017,USR01138,USA,Chicago,Mobile,Firefox,Direct,Summer Sale,Contact,1,1,Yes,2,2.46,47,0,0,Pricing,0.0
2024-02-13,SES000018,USR01242,India,Hyderabad,Mobile,Safari,Organic Search,No Campaign,Pricing,1,1,No,9,4.2,37,0,0,Blog,0.0
2025-06-03,SES000019,USR00149,USA,Dallas,Desktop,Safari,Referral,Email Retention,Home,2,1,Yes,10,5.29,36,0,0,Home,0.0
2024-06-07,SES000020,USR01447,UK,London,Mobile,Firefox,Organic Search,Product Launch,Blog,4,1,No,8,3.62,30,0,0,Pricing,0.0
2024-11-22,SES000021,USR01991,India,Delhi,Mobile,Chrome,Direct,Summer Sale,Pricing,4,1,No,5,1.07,49,0,0,Products,0.0
2024-10-03,SES000022,USR00184,USA,San Francisco,Desktop,Edge,Paid Search,Summer Sale,Checkout,3,1,Yes,10,3.65,26,0,0,Home,0.0
2024-10-02,SES000023,USR01133,India,Mumbai,Desktop,Firefox,Organic Search,Festive Offer,Contact,2,1,Yes,4,1.09,35,0,0,Checkout,0.0
2024-09-01,SES000024,USR00555,India,Pune,Mobile,Edge,Organic Search,Summer Sale,Pricing,3,1,Yes,8,0.9,43,0,0,Checkout,0.0
2025-06-01,SES000025,USR01409,Australia,Sydney,Mobile,Safari,Organic Search,Brand Awareness,Pricing,4,1,Yes,6,6.38,40,0,0,Checkout,0.0
